authors	title	citation	doi	year	month	simple_duplication	reposition_duplication	alteration_duplication	cuts_and_beautification	findings	reported	correction_date	retraction	correction	no_action	completed	first_author	affiliation	publications	citations	year_start	year_end	top_topics	publication_types	top_authors	top_journals	top_institutions	top_conferences	lab_size_approx	publication_variety	journal_variety	institution_variety	conference_variety	biology	medicine	immunology	cancer	biochemistry	virology	career_duration	publication_rate	highest_degree	degree_area	degree_level	total_cites	impact_factor	eigenfactor	web_interest	images_interest	youtube_interest	academic_reputation	affiliation_funding
Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu	Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592	10.1371/journal.pone.0069592	2013	July	0	0	1	0	two sets of duplicated facs panels but different percentages gated points	1	2015-01-26	0	1	0	1	Yan Zhang	Second Military Medical University	2	23	2011	2013	Apoptosis|Immunology|Medicine|Concanavalin A|Hepatitis|Autoimmune hepatitis|Scutellaria baicalensis|Spleen|Baicalein|Mitochondrion	Journal publications	Wei-Dong Zhang|Hua-Wu Zeng|Yaping Hua|Lei Shan|Zhenlin Hu|Runhui Liu|Dan Wang|Huahua Zhang|Zhenlin Hu|Qianfeng Gong	PLOS ONE|Frontiers in Pharmacology	Second Military Medical University|Shanghai Jiao Tong University|Jiangxi University of Traditional Chinese Medicine	NA	10	1	2	3	0	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	9	0.2222222222222222	PhD	medicine, immunology	10	332716	3.23	1.53	17.25	14.5	11.25	27.7	public
Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma	Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134	10.1371/journal.pone.0069134	2013	July	0	0	1	0	overlapping microscopy images	1	2014-07-23	0	1	0	1	Zhongpu Chen	Southeast University	12	148	2013	2019	Biology|Molecular biology|DNA methylation|Cell growth|Cancer research|Gene expression|Regulation of gene expression|DNA demethylation|Methylation|Collagen, type I, alpha 1	Journal publications	Genshan Ma|Yuyu Yao|Xiaodong Pan|Rong Huang|Long Chen|Yuning Sun|Zulong Sheng|Rongfeng Xu|Gaoliang Yan|Fengdi Yan	PLOS ONE|Scientific Reports|Experimental and Therapeutic Medicine|Heart Lung and Circulation|Stem Cell Research & Therapy|Biological & Pharmaceutical Bulletin|Journal of Cellular Physiology|Pathology Research and Practice|Cellular Physiology and Biochemistry|Angiology	Southeast University	NA	10	1	10	1	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	7	1.7142857142857142	NA	NA	4	332716	3.23	1.53	7.25	5.5	4.5	56.2	public
Akrem Abdulsid, Alexander Fletcher, Fiona Lyall	Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor	PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127	10.1371/journal.pone.0071127	2013	August	0	0	0	1	reuse of 2 bands multiple times to create blot panel	1	NA	1	0	0	1	Akrem Abdulsid	University of Glasgow	10	41	2013	2018	Placenta|Biology|Immunology|Heat shock protein|Andrology|Western blot|Heat shock|Preeclampsia|Regulation of gene expression|Hsp70	Journal publications	Fiona Lyall|Kevin Hanretty|Alexander Fletcher|Samy Alwarfaly|Kevin P. Hanretty	PLOS ONE|Journal of Reproductive Immunology|Pregnancy Hypertension: An International Journal of Women's Cardiovascular Health|Placenta	University of Glasgow|Southern General Hospital	NA	5	1	4	2	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	7	1.4285714285714286	NA	NA	4	332716	3.23	1.53	12.25	11.75	6.75	70.2	public
Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc	DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine	PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982	10.1371/journal.pone.0084982	2014	January	0	0	1	0	duplicated, and mirrored blots	1	2014-09-15	0	1	0	1	Fang Liu	Indiana University – Purdue University Indianapolis	1	0	2013	2013	Cancer|Downregulation and upregulation|Kinase|Apoptosis|Immunology|Pancreatic cancer|Gemcitabine|p38 mitogen-activated protein kinases|Signal transduction|Medicine	Journal publications	Murray Korc	Cancer Research	Indiana University – Purdue University Indianapolis	NA	1	1	1	1	0	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	7	0.14285714285714285	PhD	Pharmacology	10	332716	3.23	1.53	18.75	12.75	12.5	NA	public
Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi	Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH	PLOS One, January 2014 | Volume 9 | Issue 1 | e86342	10.1371/journal.pone.0086342	2014	January	0	1	0	0	duplicated (negative) western blot	1	2015-05-06	0	1	0	1	Jagannath Misra	Chonnam National University	6	110	2011	2017	Biology|Molecular biology|Transcription factor|Nuclear receptor|Internal medicine|Endocrinology|Chromatin immunoprecipitation|Unfolded protein response|Transcriptional regulation|Regulation of gene expression	Journal publications	Don Kyu Kim|Hueng Sik Choi|Seung-Hoi Koo|Chul-Ho Lee|Sung Hoon Back|Dipanjan Chanda|Tiangang Li|John Y. L. Chiang|Yong Hoon Kim|Seung Rye Cho	PLOS ONE|Journal of Biological Chemistry|Nucleic Acids Research|Trends in Endocrinology and Metabolism|Diabetes	Chonnam National University|Korea Research Institute of Bioscience and Biotechnology|University of Ulsan|Korea University|Northeast Ohio Medical University|Sungkyunkwan University|Gachon University|KAIST|Seoul National University|Yonsei University	NA	10	1	5	10	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	9	0.6666666666666666	PhD	NA	10	332716	3.23	1.53	11	8.75	8.75	44.8	public
Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy	Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells	PLOS One, January 2014 | Volume 9 | Issue 1 | e87003	10.1371/journal.pone.0087003	2014	January	0	0	1	0	duplicated, and stretched blot	1	2015-04-22	0	1	0	1	Trent Fowler	Tufts University	8	275	2011	2015	Biology|Regulation of gene expression|Molecular biology|Transcription factor|RNA polymerase II|Gene|Signal transduction|BRD4|Cancer research|Cancer cell	Journal publications	Ananda L. Roy|Ronald C. Conaway|Ali Shilatifard|Joan Weliky Conaway|David H. Price|Cheng Ming Chiang|Payel Ghatak|James E. Bradner|Ranjan Sen|Alexander S. Garruss	PLOS ONE|Journal of Biological Chemistry|Molecular Cell|Epigenetics & Chromatin|Genomics data|Blood	Tufts University|Harvard University|Laboratory of Molecular Biology|Stowers Institute for Medical Research|University of Iowa|University of Texas Southwestern Medical Center|Wyss Institute for Biologically Inspired Engineering|Cincinnati Children's Hospital Medical Center|National Institutes of Health|University of California, Los Angeles	NA	10	1	6	10	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	9	0.8888888888888888	PhD	Biomedical Science	10	332716	3.23	1.53	11.25	8.75	8.75	62.3	private
Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko	Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells	PLOS One, February 2014 | Volume 9 | Issue 2 | e89546	10.1371/journal.pone.0089546	2014	February	1	0	1	0	Duplicated, and shifted GAPDH gel panel	1	2014-07-28	0	1	0	1	Mojca Jez	NA	4	33	2014	2019	Biology|Gene|Induced pluripotent stem cell|Cellular differentiation|Alternative splicing|Cloning|Octamer Transcription Factor-3|Pseudogene|Genetics|Transcription factor	Journal publications|Other	Olga Kashpur|Lucy Vilner|Alexandra Grella|Sakthikumar Ambady|Christopher Malcuit|Primoz Rozman|Tanja Dominko|Elvira Malicev|Primoz Rozman|Metka Krašna	PLOS ONE|Mechanisms of Ageing and Development|Transfusion Clinique Et Biologique	Worcester Polytechnic Institute|Stanford University	NA	10	2	3	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	6	0.6666666666666666	Bachelor	NA	5	332716	3.23	1.53	21.25	18.5	14	NA	 
Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li	Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway	PLOS One, February 2014 | Volume 9 | Issue 2 | e90318	10.1371/journal.pone.0090318	2014	February	0	0	1	0	Mirrored blot panels representing different proteins	1	2016-07-25	1	0	0	1	Zhenni Zhang	Xi'an Jiaotong University	17	120	2004	2019	Apoptosis|Biology|Downregulation and upregulation|Medicine|Molecular biology|Pharmacology|Protein kinase B|PI3K/AKT/mTOR pathway|Cancer research|Signal transduction	Journal publications	Jianrui Lv|Rongliang Xue|Xiaoming Lei|Yong Zhang|Siyuan Li|Zongfang Li|Gang Wu|Ning Wang|Jiaxuan He|Liang-Sheng Miao	PLOS ONE|Molecular Medicine Reports|Biomedicine & Pharmacotherapy|Oncology Letters|Biochemical and Biophysical Research Communications|Journal of Pharmacy and Pharmaceutical Sciences|Lipids in Health and Disease|Computer Methods in Applied Mechanics and Engineering|Journal of Cellular Physiology|Nutritional Neuroscience	Xi'an Jiaotong University|Fourth Military Medical University	NA	10	1	10	2	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	16	1.0625	Bachelor	Biomedical Science	5	332716	3.23	1.53	20	18.75	11	55	public
Christophe Broca,  Elodie Varin, Mathieu Armanet, CŽcile Tourrel-Cuzin, Domenico Bosco,  StŽphane Dalle, Anne Wojtusciszyn	Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066	10.1371/journal.pone.0092066	2014	March	0	0	1	0	duplicated/reused actin blot panels	1	2014-07-07	0	1	0	1	Christophe Broca	French Institute of Health and Medical Research	3	35	1998	2019	Biology|Caspase 3|Unfolded protein response|Apoptosis|Ubiquitin|Proteasome|Beta cell|Programmed cell death|Biochemistry|Signal transduction	Journal publications	Stéphane Dalle|Elodie Varin|Mathieu Pierre Jean Armanet|Domenico Bosco|Anne Wojtusciszyn|Cécile Tourrel-Cuzin|Cécile Rittore|Isabelle Touitou|Darragh Duffy|Gillian I. Rice	PLOS ONE|The Journal of Allergy and Clinical Immunology|Developmental Brain Research	French Institute of Health and Medical Research|University of Geneva|Centre national de la recherche scientifique|Paris Descartes University|Pasteur Institute|Utrecht University|University of Montpellier|Manchester Academic Health Science Centre	NA	10	1	3	8	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	22	0.13636363636363635	NA	NA	4	332716	3.23	1.53	12	8.75	8.5	NA	public
Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis	DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells	PLOS One, March 2014 | Volume 9 | Issue 3 | e92305	10.1371/journal.pone.0092305	2014	March	0	0	1	0	Duplicated lanes within different panels - but representing same conditions	1	2014-08-18	0	1	0	1	Sylwia Flis	NA	5	74	2007	2014	Cancer|Biology|Cancer research|DNA methylation|Zebularine|DNA Methyltransferase Inhibitor|DNMT1|DNA methyltransferase|Decitabine|Carcinogenesis	Journal publications	Agnieszka Gnyszka|Krzysztof Flis|Jacek Splawinski|Irena Misiewicz-Krzeminska	PLOS ONE|Cancer Cell International|European Journal of Pharmacology|Biochemical and Biophysical Research Communications|Nowotwory	Polish Academy of Sciences	NA	4	1	5	1	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	13	0.38461538461538464	NA	NA	4	332716	3.23	1.53	20.75	14.75	13.25	NA	 
Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi	FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626	10.1371/journal.pone.0092626	2014	March	0	0	1	0	Mirrored microscopy image	1	2015-04-27	0	1	0	1	Takaharu Nakayoshi	Kurume University	29	127	2009	2020	Medicine|Internal medicine|Cardiology|Diabetes mellitus|Angioscopy|Neovascularization|Endothelial dysfunction|Drug-eluting stent|Stent|Cancer research	Journal publications	Ken-ichiro Sasaki|Takafumi Ueno|Shinji Yokoyama|Naoki Itaya|Hidetoshi Chibana|Masanori Ohtsuka|Yoshiaki Mitsutake|Yoshihiro Fukumoto|Hiroshi Koiwaya|Yasuyuki Toyama	PLOS ONE|Jacc-cardiovascular Interventions|Cardiovascular Intervention and Therapeutics|International Journal of Cardiology|Cardiovascular Research|Atherosclerosis|Heart and Vessels|Journal of the American College of Cardiology|Circulation|Journal of Cardiology	Kurume University|Stanford University|Fukuoka University|University of Malaya|International University of Health and Welfare|Kyoto University|Wakayama Medical University|University Malaya Medical Centre|Kyoto Sangyo University|Sysmex Corporation	NA	10	1	10	10	0	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	11	2.6363636363636362	NA	NA	4	332716	3.23	1.53	21.5	18.75	11.5	18.3	private
