"first_author","title","main_topic","to_search"
"Sen Rong Yan","Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide","biology","Sen Rong Yan biology"
"Peter L. W. Yun","Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by Gingipains of Porphyromonas gingivalis for the Pathology of Periodontal Disease","biology","Peter L. W. Yun biology"
"Samithamby Jeyaseelan","Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury","immunology","Samithamby Jeyaseelan immunology"
"Ellen J. Beswick","The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production","immunology","Ellen J. Beswick immunology"
"Catherine J. Hunter","Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__","medicine","Catherine J. Hunter medicine"
"Suleyman Felek","The Yersinia pestis Ail Protein Mediates Binding and Yop Delivery to Host Cells Required for Plague Virulence__","biology","Suleyman Felek biology"
"Paola Massari","Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__","biology","Paola Massari biology"
"Min-Hee Cho","Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__","microbiology","Min-Hee Cho microbiology"
"Yuan Du","Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__","biology","Yuan Du biology"
"Eva Hervet","Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__","biology","Eva Hervet biology"
"Asim A. Siddiqui","Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes","virology","Asim A. Siddiqui virology"
"Balamayooran Theivanthiran","NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection","biology","Balamayooran Theivanthiran biology"
"Javier Santander","Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host","biology","Javier Santander biology"
"Kaitlyn Morse","Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale","virology","Kaitlyn Morse virology"
"Wael Abdel Halim Hegazy","Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens","biology","Wael Abdel Halim Hegazy biology"
"Yun Sun","Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection","character(0)","Yun Sun character(0)"
"Carlos J. Blondel","The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages","biology","Carlos J. Blondel biology"
"Kelei Zhao","Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway","biology","Kelei Zhao biology"
"Whitney M. Amyot","Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System","biology","Whitney M. Amyot biology"
"Xianqiong Zou","Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections","biology","Xianqiong Zou biology"
"Xiucai Xu","Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice","biology","Xiucai Xu biology"
"Jiale Ma","Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways","biology","Jiale Ma biology"
"N. Zhi","Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis","biology","N. Zhi biology"
"Michael Waters","Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets","biology","Michael Waters biology"
"Sou-Ichi Makino","Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains","biology","Sou-Ichi Makino biology"
"Chung-ming Chu","Association of Presence of Aspergillus Antibodies with Hemoptysis in Patients with Old Tuberculosis or Bronchiectasis but No Radiologically Visible Mycetoma","medicine","Chung-ming Chu medicine"
"Patrick C. Y. Woo","False-Positive Results in a Recombinant Severe Acute Respiratory Syndrome-Associated Coronavirus (SARS-CoV) Nucleocapsid Enzyme-Linked Immunosorbent Assay Due to HCoV-OC43 and HCoV-229E Rectified by Western Blotting with Recombinant SARS-CoV Spike Polypeptide","biology","Patrick C. Y. Woo biology"
"Wulamu Mamuti","Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B from Echinococcus multilocularis","biology","Wulamu Mamuti biology"
"Jean-Philippe Lavigne","First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe","microbiology","Jean-Philippe Lavigne microbiology"
"Michael Waters","Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases","biology","Michael Waters biology"
"Ana Mena","Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development","biology","Ana Mena biology"
"Henry E. Cerny","Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells","virology","Henry E. Cerny virology"
"Suharni Mohamad","Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)","virology","Suharni Mohamad virology"
"Adis Tasanarong","Dual Inhibiting Senescence and Epithelial-to-Mesenchymal Transition by Erythropoietin Preserve Tubular Epithelial Cell Regeneration and Ameliorate Renal Fibrosis in Unilateral Ureteral Obstruction","medicine","Adis Tasanarong medicine"
"Anahita Rahmani","Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells","cancer research","Anahita Rahmani cancer research"
"Gurbet Celik","A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat","biochemistry","Gurbet Celik biochemistry"
"Young-Man Lee","Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells","biology","Young-Man Lee biology"
"Chih-Zen Chang","Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","medicine","Chih-Zen Chang medicine"
"Jaeson Santos Calla-Choque","__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism","molecular biology","Jaeson Santos Calla-Choque molecular biology"
"Li Han","Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells","medicine","Li Han medicine"
"Silvana Lorena Della Penna","Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet","internal medicine","Silvana Lorena Della Penna internal medicine"
"Mao-Lin Ho","Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo","biochemistry","Mao-Lin Ho biochemistry"
"Chao-Bin Yeh","Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity","medicine","Chao-Bin Yeh medicine"
"Ying-Yi Chen","Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways","biochemistry","Ying-Yi Chen biochemistry"
"Chih-Yu Peng","Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway","biochemistry","Chih-Yu Peng biochemistry"
"Chiung-Chyi Shen","Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats","medicine","Chiung-Chyi Shen medicine"
"Li Li","Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK","biology","Li Li biology"
"Nabilatul Hani Mohd-Radzman","Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes","medicine","Nabilatul Hani Mohd-Radzman medicine"
"Zhiqiang Wang","Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells","biochemistry","Zhiqiang Wang biochemistry"
"Ya-min Zhang","Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury","medicine","Ya-min Zhang medicine"
"Lilian Amrein","The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro","internal medicine","Lilian Amrein internal medicine"
"Gong Yang","RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis","biology","Gong Yang biology"
"Sujit K. Bhutia","Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24","biology","Sujit K. Bhutia biology"
"Upal K. Basu Roy","Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis","biology","Upal K. Basu Roy biology"
"Teresa Lorenzi","HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker","biology","Teresa Lorenzi biology"
"Jing Huang","Tiam1 is associated with hepatocellular carcinoma metastasis","biology","Jing Huang biology"
"Emanuela Rosati","c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation","immunology","Emanuela Rosati immunology"
"Gayathri Chadalapaka","Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors","biology","Gayathri Chadalapaka biology"
"Baoyi Zhu","Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells","cancer research","Baoyi Zhu cancer research"
"Jing Hu","Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition","cancer research","Jing Hu cancer research"
"R. van Gelderen","Physical characterisation of Tenacibaculum maritimum for vaccine development","biology","R. van Gelderen biology"
"Robert P. Ryan","HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa","biology","Robert P. Ryan biology"
"Laurent Guillon","High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274","biology","Laurent Guillon biology"
"Lei-Chin Chen","Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse","biology","Lei-Chin Chen biology"
"Isao Hara","Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy","medicine","Isao Hara medicine"
"Noritoshi Kitamoto","Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test","biology","Noritoshi Kitamoto biology"
"Kotla Siva Reddy","Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity","molecular biology","Kotla Siva Reddy molecular biology"
"H. Liu","Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids","biochemistry","H. Liu biochemistry"
"Sandrine Koechler","Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans","biology","Sandrine Koechler biology"
"Scarlett R Holdsworth","Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli","biology","Scarlett R Holdsworth biology"
"Daniel C Kraushaar","Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3","biology","Daniel C Kraushaar biology"
"Arumugam Nagalingam","Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis","cancer research","Arumugam Nagalingam cancer research"
"Ingunn Holen","Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo","medicine","Ingunn Holen medicine"
"Meiou Dai","A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion","cancer research","Meiou Dai cancer research"
"Yi Fang Lee","JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer","cancer research","Yi Fang Lee cancer research"
"Meiou Dai","Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion","cancer research","Meiou Dai cancer research"
"Zhaojia Wu","Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation","biology","Zhaojia Wu biology"
"Alexandr V. Bazhin","Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision","biology","Alexandr V. Bazhin biology"
"Marina S. Savchenko","Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy","medicine","Marina S. Savchenko medicine"
"Stephana Carelli","Up-regulation of focal adhesion kinase in non-small cell lung cancer","biology","Stephana Carelli biology"
"Katherine M. Finan","In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2","medicine","Katherine M. Finan medicine"
"Kang Fang","Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells","biology","Kang Fang biology"
"Shun-Dong Dai","Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn","biology","Shun-Dong Dai biology"
"Kazutoshi Komiya","Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer","medicine","Kazutoshi Komiya medicine"
"Hakan Akca","Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells","biology","Hakan Akca biology"
"Norimitsu Tanaka","Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer","medicine","Norimitsu Tanaka medicine"
"Dusanka S. Skundric","Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE)","immunology","Dusanka S. Skundric immunology"
"Pascale Gerbaud","Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts","biology","Pascale Gerbaud biology"
"M. Sisto","Autoantibodies from Sjögren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253","biology","M. Sisto biology"
"Itshak Golan","Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody","biology","Itshak Golan biology"
"Xiaoyan Xiao","Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice","biology","Xiaoyan Xiao biology"
"Dana Ben-Ami Shor","Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice","medicine","Dana Ben-Ami Shor medicine"
"Sawsan I. Kreydiyyeh","Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes","biochemistry","Sawsan I. Kreydiyyeh biochemistry"
"Ji-Yong Zhou","cDNA cloning and functional analysis of goose interleukin-2 ","biology","Ji-Yong Zhou biology"
"Sarine Markossian","TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2","biochemistry","Sarine Markossian biochemistry"
"Hwa-Jeong Lee","Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells","biology","Hwa-Jeong Lee biology"
"Maria de Lujan Alvarez","Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers","internal medicine","Maria de Lujan Alvarez internal medicine"
"Marilena Galdiero","STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6","biology","Marilena Galdiero biology"
"Sawsan Ibrahim Kreydiyyeh","Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla","biochemistry","Sawsan Ibrahim Kreydiyyeh biochemistry"
"Deok-Ho Song","Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway","immunology","Deok-Ho Song immunology"
"Chung-Hsi Hsing","The distribution of interleukin-19 in healthy and neoplastic tissue","medicine","Chung-Hsi Hsing medicine"
"M. Hyzd’alová","The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation","biology","M. Hyzd’alová biology"
"Taku Inokuchi","Effects of ethanol on monosodium urate crystal-induced inflammation","internal medicine","Taku Inokuchi internal medicine"
"Zhao Huang","Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome","character(0)","Zhao Huang character(0)"
"Aramati B.M. Reddy","Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis","biology","Aramati B.M. Reddy biology"
"Kumiko Goto","IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells","biology","Kumiko Goto biology"
"Surinder Safaya","Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells","biology","Surinder Safaya biology"
"Yanping Yang","STAT3 induces muscle stem cell differentiation by interaction with myoD","biology","Yanping Yang biology"
